id,hash,k_count,n_SKolmogorov,n_MKolmogorov,M.MeanSyllablesPerWord,S.DependentC,L.Density,n_NDW_value,text_len_mean,text_len_std,t_mean_10000,t_std_10000,log_t_mean,log_t_std,p_510_no/len,p_1000_no/len,p_2000_no/len,p_5000_no/len,p_10000_no/len,del/len_mean,del/len_std,revision_t/len_filter_10000_mean,separator_t/t_filter_10000_mean,word_t/t_filter_10000_mean,jumps/s,chunks/s,latency/s,fluency/s,kmeans_label
151,436b0,11281.0,-0.10139144790323606,0.06002637215646731,1.4835895141176472,1.3725490196098038,0.4880099187156863,0.3352351511237085,149.80392156862746,73.65025990662711,559.4858611825193,1335.2509618150145,5.684440545458263,0.9314355482122724,0.2506380806533946,0.11332312404287904,0.05972434915773354,0.02960694231750893,0.01927003573251659,0.21868025525258286,0.1265683523567904,294.6384635017866,0.31406338236589404,0.5344346560696814,4.941176470588236,2.6666666666666665,0.36593777250340265,-0.21114886984726147,2.0
152,46019,8041.0,-0.0192258505194404,0.15962414592623791,1.5855969723867926,0.5094339622622641,0.5102424846226414,0.1914698237434684,98.2679245283019,40.879672273942745,610.5832607884591,1551.8586191063816,5.605000118496393,1.0243413392178629,0.20995912300260125,0.13154960981047936,0.0865849126718692,0.04403567447045708,0.026941657376439984,0.22335292515461624,0.17808567391182195,412.33519137866966,0.2644187639847184,0.5477717095272622,4.226415094339623,2.547169811320755,0.1959345026273938,0.08035576842490108,
153,463cf,38505.0,-0.03997411189032854,0.07573363386266882,1.7116967627705555,0.5833333333333334,0.5427531217955557,0.0063687575123367954,121.66388888888888,53.57425355532197,659.1019867549669,1714.7950803008926,5.6518302510791525,1.0970178838546194,0.2939706341768197,0.14517784620877405,0.10117374034899808,0.06149863881822645,0.03994287499442139,0.2587352492295105,0.1925344689721446,599.3908599991073,0.2613710102196688,0.5054473156963145,7.216666666666668,3.8722222222222222,0.7708281209671193,-0.0498646254847088,3.0
154,481bf,32152.0,-0.008463849744259466,-0.038787140531425374,1.56246230070989,1.0769230769230769,0.4920890184302197,0.2272317396318941,118.64285714285714,55.7783590242492,550.2045595919383,1463.640639525252,5.563960585753226,1.0028039698354705,0.2520993063161738,0.10291164658634536,0.06485031033223804,0.03787878787878788,0.023457466228550567,0.1713101633095534,0.13932870514660806,324.73042168674704,0.2756877163268279,0.5557521841540507,4.593406593406592,2.9010989010989015,0.4675844000587007,0.02481319045980013,2.0
155,49828,66730.0,0.025465926994755674,-0.1687406979844554,1.5107887454594406,1.5594405594405594,0.4802430616374127,0.3634285105827629,140.31730769230768,68.73052239118105,449.35556721114943,1324.7033296120715,5.361329194421735,0.9471055950530608,0.13584466584248414,0.08285458027294984,0.0563110561656122,0.03328242794463433,0.02075000606016532,0.2630105252916368,0.16129743985049125,371.876348386784,0.313517002884628,0.5050531631900999,4.765734265734267,3.0664335664335662,0.4442538108887114,0.0289079337847536,2.0
156,4a063,18365.0,-0.0521105668668054,-0.11813999174503588,1.536096968557778,0.5,0.5186249657544445,0.19295720637206196,83.14944444444447,37.58885710500631,430.926000544514,996.384528396053,5.608266806182057,0.7872842896297221,0.1224167434513624,0.05153350006581545,0.031064894037119917,0.015400816111623009,0.0072396998815321845,0.07136763225586393,0.06355302976791379,105.53929182572071,0.29934615386286345,0.5944836869895836,0.7944444444444444,1.2388888888888892,-0.5173715451573658,0.040222702841138255,0.0
157,4f95b,32967.0,0.0012593627817461194,0.02532683271525696,1.6133929111203127,0.68359375,0.5204127541898438,0.05267878466517899,98.126953125,41.41952386199843,425.5783965783965,986.054444431245,5.5362454995886194,0.850747953830249,0.184943617146674,0.07162783387686142,0.03874111036894425,0.014537739185100781,0.006875957722682803,0.12517944844018675,0.10517680230106002,148.27299516718398,0.29607320911142904,0.5957273733454339,0.77734375,1.35546875,-0.3289416456092499,-0.01184453593772117,0.0
158,504de,11619.0,0.07439487200420968,0.2823440326356576,1.6342921250482143,0.6964285714285714,0.5375868582571429,-0.03361985348729658,152.67410714285714,64.89603433119458,569.1727343144848,1197.804396759912,5.819761466813749,0.8882185622946122,0.2233938471572997,0.10425046200673986,0.051962169801065335,0.021741493640613112,0.010218502011088162,0.11829285076238735,0.0931086687210338,217.25970214153716,0.3367316501667359,0.5345001247920043,4.375,2.6785714285714284,-0.2005548320364188,0.3331718977577073,1.0
159,5106f,8046.0,0.28683791271433623,0.2757913180308079,1.5585600786124998,0.7083333333333334,0.5155468664125,0.14331149722000885,105.21875,44.98615700199908,517.4574944071588,1333.183909426367,5.5857534952170695,0.9926541388181422,0.2314192433262915,0.09583253312848088,0.06452851930094104,0.03264835797964278,0.01997311311695794,0.22951473773225875,0.14858438863251788,316.9333589398886,0.2840095787123505,0.5990990217543045,2.958333333333333,2.208333333333333,0.55894488817117,-0.14138446392612947,
160,51229,13804.0,-0.1440588375102584,0.07385808887248559,1.7418366759,0.4854368932038835,0.5284232008601941,-0.16421288166675102,115.06213592233007,45.47002485263221,255.70653433787308,514.6189814735949,5.251172719123254,0.6155479222088861,0.06978489244622313,0.020260130065032515,0.009171252292813074,0.003668500917125229,0.0010838752709688177,0.0698191207061647,0.04745883381377612,53.65065866266467,0.2787227548435194,0.6689613796613588,0.4563106796116505,1.194174757281553,-0.933475652132979,-0.15695822252655628,0.0
161,51c62,17571.0,-0.010737898602489164,-0.1898988328831809,1.5617254353989898,1.1515151515161617,0.5076799752060606,0.1331191544271595,127.99494949494951,52.70335228027773,380.22804621250924,1135.1225318342165,5.3310407573812775,0.8350289709853833,0.08683715092563539,0.04902729839974898,0.03451521807342328,0.02133668026357076,0.012786319422654534,0.1050804173665818,0.09324292636694304,178.48486037025418,0.2806444382791353,0.5934461938260578,2.4141414141414144,2.0505050505050506,-0.2251947631291352,0.13862298725679634,0.0
162,566b0,11419.0,0.0014338798839180688,-0.0024793682101328504,1.5466848438755816,0.6395348837197674,0.4975358479895349,0.2126587078231515,110.89244186046513,48.69247043944864,432.9992118399159,1097.6488008056372,5.465167238461398,0.8715268813191527,0.12927006541376804,0.06562143079638667,0.03613331948914962,0.01744367147752051,0.00892949849444502,0.08206734317898295,0.07968063623632833,116.96687779046827,0.29370209596456315,0.5932860465339409,1.3023255813953492,1.569767441860465,-0.10575959560915407,-0.09232116524173024,0.0
163,56fe3,3432.0,0.14405002084982385,0.2161603408578229,1.5365723107057143,0.4,0.5393214828199999,0.4575647891627278,88.8857142857143,28.09178384025712,493.77768065268066,1220.341949986411,5.503358329943847,0.9982440699053032,0.16378205128205128,0.08621794871794873,0.05096153846153846,0.019871794871794867,0.009294871794871795,0.04336210474383047,0.05066758207120569,79.90576923076924,0.3255150895149381,0.5592279312059171,0.4,1.1714285714285717,-0.20688270678355145,-0.07629071016056489,
164,5913d,32754.0,-0.09638082237648808,-0.07334614262073673,1.564704241873656,0.9784946236543008,0.4954197336623655,0.25196296916600536,115.53494623655914,47.63472489059321,526.5640227147828,1397.0786656157943,5.549737310387695,1.0024477488791554,0.17325007918193747,0.10452015745893853,0.06293832858241709,0.033889869236686125,0.022080448848468395,0.1755367418608781,0.12203345065282545,329.5288900954708,0.2882210998936677,0.5432526647888061,3.1397849462365586,2.5161290322580645,0.5040683830374768,-0.04260692565470043,2.0
165,5a6e0,10329.0,0.04614371275849659,-0.09029350307996267,1.6374414046022219,0.4777777777777778,0.5251011466366666,0.04574161872682452,100.12222222222222,44.0104246531695,623.2840546035434,1654.7444802111593,5.592248782811311,1.0111006175489743,0.16358809866165247,0.08007963720827342,0.06171883641190134,0.04468532242008627,0.01858201526379825,0.06077101264189452,0.04367270471720495,149.54308151753125,0.2332607551536353,0.6397488191665511,2.555555555555556,1.8111111111111111,0.13078404550018025,0.09839130367638547,1.0
166,5d350,3402.0,-0.308175645540847,0.08520740012933778,1.4835766468461538,1.8461538461538465,0.4903246636076923,0.14871754027287865,178.5384615384616,86.44710847739535,386.4097589653145,1080.8725991776503,5.395098086743275,0.8380296607606276,0.13030807660283095,0.058701082431307235,0.034970857618651124,0.01790174854288093,0.013322231473771855,0.2040264932950596,0.14428220486347976,235.7864279766861,0.3471281017173599,0.530887301133067,4.9230769230769225,3.7692307692307687,-0.03620746916363006,0.012154113515115613,
167,5f459,21503.0,-0.05211790942469969,-0.021640966567379655,1.5717133063581197,0.7777777777777778,0.4868295964307693,0.2279863656610281,116.47863247863249,50.46364315893557,480.7327349672139,1300.523469034232,5.4654999561942175,1.0260895005712414,0.23084684684684684,0.08893693693693694,0.05347747747747749,0.03027027027027027,0.02010810810810811,0.2164216102296928,0.16393200702831484,319.46421621621624,0.2545621491120968,0.5707269652459901,1.358974358974359,1.6837606837606838,0.15095844314962645,-0.04200617962099309,2.0
168,60c20,1683.0,0.1612158148440775,0.08801329311770903,1.449202136714286,0.35714285714285715,0.6315935306857143,-0.049019739119309166,82.62142857142858,47.436502961188154,482.4289958407605,1432.7281730996388,5.454452168767292,1.1090841143650167,0.13298791018998274,0.06822107081174439,0.05008635578583765,0.03367875647668394,0.02677029360967185,0.1798455843909719,0.10988217708332276,276.75043177892917,0.31301906065878465,0.3698983148143328,1.6428571428571428,2.2142857142857144,-0.14033825335654646,0.6832730123168487,
169,659b2,26875.0,-0.09700957986232614,-0.07687986767968358,1.5284118633297752,0.7921348314601124,0.4884052686842697,0.19820422258722348,113.3446629213483,46.56304622352955,366.6088558139535,1123.5779053123267,5.239999621718355,0.8780591317448474,0.09675223648385843,0.05352975495915986,0.031019058732010888,0.018475301439128743,0.012738234150136134,0.13272646812030986,0.09869759783866364,137.87704200700117,0.3655255744948475,0.4913333406887488,0.7471910112359551,1.5056179775280898,-0.04216175750086485,-0.014928461260377484,0.0
170,66c6d,21628.0,0.12485374229649998,0.10034999775085468,1.6087219368176924,0.823076923076923,0.5154707343584617,0.2906469379583484,114.645,40.56952442432009,414.16201220639914,1253.2531607819267,5.338876362591857,0.9946519748989056,0.11808044603743527,0.05462631089871233,0.03942652329749104,0.025753351918226468,0.018784016991902297,0.18942227282142032,0.11557325505614913,213.90919952210274,0.2498201413946507,0.6582740118051061,0.9692307692307692,1.7153846153846153,0.4005883818070169,0.05215614451199886,1.0
171,67adc,22622.0,0.11787729531422292,0.11050328774045276,1.6734922689881944,0.7708333333333334,0.5553128587027777,-0.06246710341368585,121.6972222222222,60.39432306073361,629.8789673768897,1523.4782388751444,5.732262870161038,1.0146949140761077,0.20379487746860653,0.10521657354649556,0.06660397189799193,0.037118990983017096,0.01997012778669027,0.0993419886958518,0.0981289618649476,226.072689052387,0.3177267476173045,0.5291939896349901,3.7916666666666665,2.1388888888888893,0.40239672457995457,-0.13542366868596067,2.0
172,68be6,18446.0,-0.1175941430055568,-0.1262624906692571,1.6154998315806248,0.3125,0.5408578516456249,0.009727530763893844,80.5,34.650682696315734,480.7123495608803,1183.434646608553,5.580982834289876,0.8767879766432652,0.19687764362070287,0.07967392140275321,0.04952703222333308,0.023379220179958467,0.012689379373990615,0.18221597076504675,0.15384579137749396,217.06813812197186,0.2630417529825273,0.5900163048889462,0.9,1.3875,-0.26385556605245314,-0.014729365738369037,1.0
173,6c4ea,24846.0,-0.011665336532088946,-0.17910620658595933,1.5246633797891156,0.9319727891156464,0.4920089971482994,0.28475871770844063,111.156462585034,45.149932975309724,439.3178378813491,1299.539316906452,5.312597000571361,0.9446543806941992,0.13383458646616542,0.07699248120300753,0.05263157894736842,0.02941353383458646,0.018466165413533842,0.158112611148419,0.12486806534969133,279.41750375939847,0.250141566381794,0.6125420415724915,2.54421768707483,2.748299319727891,-0.032750555946073415,0.006936362836224589,2.0
