,file_id,user_id,avg_burst_len_550,mean_p_550,med_p_550,avg_burst_len_1000,mean_p_1000,med_p_1000,avg_burst_len_2000,mean_p_2000,med_p_2000
27,27.0,3.0,4.0,9801.619047619048,1768.0,5.0,14085.75,4667.5,6.426666666666668,38089.85333333333,6342.0
28,28.0,3.0,2.5957446808510642,7638.148936170212,1680.5,3.5,10889.741935483871,4265.5,4.5348837209302335,14508.255813953489,6032.0
29,29.0,3.0,3.2241379310344827,11825.896551724138,1948.0,4.259740259740259,17464.064935064936,4764.0,5.305084745762712,16830.338983050846,8104.0
30,30.0,4.0,2.65929203539823,4113.053097345131,1070.5,4.248062015503876,6406.29457364341,2003.0,8.313432835820896,11279.20895522388,4455.0
31,31.0,4.0,3.348066298342541,2494764.082872928,1173.0,5.601941747572815,4383144.174757281,2190.0,10.224137931034482,11475914.862068964,6399.5
32,32.0,4.0,3.7575757575757582,321988.4069264069,1087.0,6.7,571583.4307692308,2024.0,13.089552238805972,1107812.8358208956,4059.0
33,33.0,4.0,3.414285714285714,3310.45,1243.0,5.4444444444444455,5244.024691358025,2297.0,8.28,7422.6,3604.5
34,34.0,4.0,2.647887323943662,9652.76056338028,1003.0,4.757575757575758,19797.878787878788,2401.0,10.0,33450.68421052631,4206.0
35,35.0,4.0,2.537037037037037,12770.675925925923,1064.0,4.0,22868.983050847462,2164.0,6.6875,41013.21875,6514.5
36,36.0,4.0,2.2482758620689656,4258.110344827586,1015.0,3.695121951219512,7013.987804878048,1839.5,7.564102564102564,13264.05128205128,4641.0
37,37.0,4.0,2.4308943089430888,616664.3333333335,1010.0,4.125,1184439.796875,1487.5,12.947368421052632,3986481.6842105263,4468.0
38,38.0,5.0,4.108280254777069,10745.942675159236,1591.0,5.995049504950496,16439.61386138614,3762.0,7.932885906040268,21808.053691275167,7155.0
39,39.0,5.0,3.0701754385964914,3784.754385964912,1683.0,4.0,5296.0526315789475,2712.0,6.04,7364.92,3874.0
40,40.0,5.0,3.375,2046.6875,1020.0,5.4,3728.6,1370.5,8.75,8596.25,9569.5
41,41.0,6.0,4.242603550295858,187141.5641025641,1459.0,6.142857142857142,276376.8134110787,3512.0,8.982062780269061,424058.22869955155,5502.0
42,42.0,6.0,4.743801652892562,4377.035812672177,1433.0,7.227848101265822,6287.147679324895,2809.0,11.291390728476822,9236.423841059604,5168.0
43,43.0,6.0,3.6563981042654032,225491.29383886253,1339.5,5.605947955390334,353285.3308550186,2845.0,8.254335260115608,548868.965317919,4764.0
44,44.0,6.0,3.5116279069767438,4151.333333333333,1226.0,5.774193548387097,561941.3354838709,2579.0,8.967391304347826,945755.6739130436,4432.0
45,45.0,6.0,4.883928571428571,3322.8660714285716,1202.5,7.170212765957447,4798.08510638298,2637.0,11.4125,7577.775,4518.5
46,46.0,6.0,3.98005698005698,5034.535612535613,1449.0,6.0,7398.4869565217405,3107.0,6.268965517241379,10807.186206896551,5664.0
47,47.0,6.0,5.105670103092783,5817.572164948455,1354.5,8.00413223140496,9077.194214876034,3016.0,12.140127388535033,13532.095541401271,5953.0
48,48.0,6.0,5.46927374301676,4452.368715083799,1364.5,7.910204081632652,6592.689795918367,3037.0,10.709090909090909,9208.145454545454,5044.0
49,49.0,6.0,5.7435897435897445,167167.20146520148,1069.0,9.559748427672957,286506.427672956,2325.0,13.042553191489361,10358.77659574468,4428.5
50,50.0,6.0,3.4086021505376345,78964.01792114695,1271.0,5.517241379310344,126138.54022988505,2712.5,8.36036036036036,196338.05405405405,4546.0
51,51.0,6.0,2.636363636363636,4706.768595041322,1521.0,3.5508982035928143,6398.017964071855,2715.0,5.257142857142857,9282.657142857142,5542.0
52,52.0,6.0,4.268608414239481,5843.330097087379,1438.0,6.396039603960396,8441.316831683169,2709.0,9.875968992248064,12576.488372093025,5012.0
